coef,p,model,formula,model_number,sig
0.009423685583770283,0.5951646934692525,logit,q28_nd ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * qhallucdrug,79,FALSE
0.009857581919125774,7.000234119941706e-7,linear,q27_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * qhallucdrug,80,TRUE
0.010455583178152634,2.3981424291239042e-8,linear,q27_n ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * qhallucdrug,81,TRUE
0.010741306825016918,7.362575928946121e-15,linear,q28_nd ~ q80_n + q81_n + q79 + q42 + q80_n * q42,82,TRUE
0.011715424139575138,2.2625369200488714e-13,linear,q27_n ~ q80_n + q81_n + q79 + q42 + q80_n * q42,83,TRUE
0.013918868088954157,0.27842249810478964,logit,q25_n ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * q79,84,FALSE
0.014203763468194896,0.4190390485823886,logit,q26_n ~ q80_n + q81_n + q79 + q42 + q80_n * q81_n,85,FALSE
0.015357113630630853,0.27207730605541797,logit,q25_n ~ q80_n + q81_n + q79 + q42 + q80_n * q81_n,86,FALSE
0.015518962126766383,0.2875547065837015,logit,q25_n ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * q81_n,87,FALSE
0.016872954866639346,0.13425576164450548,logit,q25_n ~ q80_n + q81_n + q79 + q80_n * q79,88,FALSE
0.018854719065104285,0.16983359005044402,logit,q25_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q79,89,FALSE
0.019066163292726226,0.3763968166868535,logit,q27_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q81_n,90,FALSE
0.019445178811071887,0.13142113865380445,logit,q25_n ~ q80_n + q81_n + q79 + q80_n * q81_n,91,FALSE
0.02006844505730915,0.004466523454814647,logit,q26_n ~ q80_n + q81_n + q79,92,TRUE
0.020254378814125326,0.3019509944175303,logit,q28_nd ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * qhallucdrug,93,FALSE
0.020374860881621906,0.30780849785202746,logit,q27_n ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * q81_n,94,FALSE
